DARKO VISKOVIÆ PR DOLCE VITA;;;Lager;;;;
PAVLA VUJISIÆA 44 BEOGRAD (ZEMUN);;;"magacin: mp1
cena: nabavna";;;;
PIB:111565745;;;;;;;
;;;;;;;
Šifra;Naziv;J.M.;Ulaz;Izlaz;Stanje;Cena;Vrednost
112485;Futrola ULTRA TANKI PROTECT silikon za Huawei P20 Pro providna (bela);;3;0;3;139,76;419,27
113843;Futrola silikon GLITTER SHOW YOURSELF za Samsung G960F Galaxy S9 siva;KOM;1;0;1;238,34;238,34
114049;Futrola ULTRA TANKI PROTECT silikon za Samsung J400F Galaxy J4 2018 providna (be;;1;0;1;111,45;111,45
114050;Futrola ULTRA TANKI PROTECT silikon za Samsung J400F Galaxy J4 2018 siva;;1;0;1;74,48;74,48
114109;Folija za zastitu ekrana GLASS BASEUS ARC za Samsung G960F Galaxy S9 crna 3D;;1;0;1;943,80;943,80
114382;Futrola ULTRA TANKI PROTECT silikon za Huawei Honor 10 Lite providna (bela);;2;0;2;111,45;222,90
114696;Bezicni punjac REMAX (Wi-Fi) RP-W10 crni;;1;0;1;931,70;931,70
115354;Futrola silikon GLITTER SHOW YOURSELF za Huawei P20 Lite zlatna;KOM;1;0;1;238,34;238,34
115549;Folija za zastitu ekrana GLASS za Nokia 6.1 Plus/X6 2018;;2;0;2;73,78;147,55
115565;Futrola ULTRA TANKI PROTECT silikon za Nokia 6.1 Plus/X6 2018 providna (bela);;1;0;1;111,69;111,69
115571;Futrola silikon BRUSHED za Huawei P20 Lite crna;KOM;1;0;1;306,74;306,74
115585;Futrola silikon BRUSHED za Nokia 6 2018/6.1 crna;KOM;1;0;1;306,74;306,74
116018;Futrola DOUBLE GLITTER za Huawei Mate 10 Lite plavo/ljubicasta;KOM;1;0;1;181,50;181,50
116598;Folija za zastitu ekrana GLASS za Nokia 5.1;;1;0;1;73,78;73,78
116634;Futrola ULTRA TANKI PROTECT silikon za Samsung N960F Galaxy Note 9 providna (bel;;1;0;1;111,70;111,70
116635;Futrola ULTRA TANKI PROTECT silikon za Samsung N960F Galaxy Note 9 siva;;1;0;1;111,45;111,45
116642;Selfie drzac generation BT crni;;2;0;2;383,07;766,13
117016;Futrola silikon GLITTER SHOW YOURSELF za Huawei Y7 Prime 2018/Honor 7C roze;KOM;1;0;1;238,34;238,34
117288;Folija za zastitu ekrana GLASS za Xiaomi Redmi 6 Pro/Mi A2 Lite;;2;0;2;73,78;147,55
117326;Futrola ULTRA TANKI PROTECT silikon za Nokia 5.1 providna (bela);;1;0;1;111,45;111,45
117330;Futrola ULTRA TANKI PROTECT silikon za Xiaomi Redmi 6 Pro/Mi A2 Lite providna (b;;1;0;1;111,45;111,45
117331;Futrola ULTRA TANKI PROTECT silikon za Xiaomi Redmi 6A providna (bela);;1;0;1;111,45;111,45
117854;Vodootporna torba 20L crna;;1;0;1;738,83;738,83
118536;Futrola Jelly za Huawei P20 Lite bordo;KOM;1;0;1;245,08;245,08
118542;Futrola Jelly za Huawei P20 Lite zlatna;KOM;1;0;1;245,08;245,08
118560;Futrola Jelly za Iphone 6G/6S bordo;KOM;1;0;1;245,08;245,08
118563;Futrola Jelly za Iphone 6G/6S roze;KOM;1;0;1;245,08;245,08
118568;Futrola Jelly za Iphone 7 Plus/8 Plus bordo;KOM;1;0;1;245,08;245,08
118571;Futrola Jelly za Iphone 7 Plus/8 Plus roze;KOM;1;0;1;245,08;245,08
118579;Futrola Jelly za Iphone 7/8 roze;KOM;1;0;1;245,08;245,08
118582;Futrola Jelly za Iphone 7/8 zlatna;KOM;1;0;1;245,08;245,08
118583;Futrola Jelly za Iphone X crna;KOM;1;0;1;245,08;245,08
118584;Futrola Jelly za Iphone X bordo;KOM;1;0;1;245,08;245,08
119239;Futrola ULTRA TANKI PROTECT silikon za Iphone XS Max providna (bela);;1;0;1;111,69;111,69
119240;Futrola ULTRA TANKI PROTECT silikon za Iphone XS Max siva;;1;0;1;76,60;76,60
119241;Futrola ULTRA TANKI PROTECT silikon za Iphone XR siva;;1;0;1;111,45;111,45
119488;Samsung auto punjac Micro USB crni 2000mA FULL ORG;;1;0;1;1.153,94;1.153,94
119544;Futrola BI FOLD Ihave za Iphone XS Max crna;KOM;1;0;1;425,61;425,61
120399;Folija za zastitu ekrana GLASS za Iphone XR;;2;0;2;74,06;148,11
120400;Folija za zastitu ekrana GLASS za Iphone XS Max;;2;0;2;74,06;148,11
1206174;Drzac za mobilni telefon KONFULON + WiFi punjac CMQ01 FAST crni;KOM;1;0;1;1.404,57;1.404,57
120619;Folija za zastitu ekrana GLASS za Nokia 5.1 Plus/X5;;1;0;1;73,93;73,93
1206252;Folija za zastitu ekrana GLASS za Huawei P30 Pro;;2;0;2;73,78;147,55
